region,year,driving_licenses,geo_point_2d_x,geo_point_2d_y,num_of_accidents,num_of_dead,num_of_injured
Al-Baha,1993,3270.0,20.1484058503,41.4665484892,,,
Al-Baha,1994,2729.0,20.1484058503,41.4665484892,,,
Al-Baha,1995,2423.0,20.1484058503,41.4665484892,,,
Al-Baha,1996,1468.0,20.1484058503,41.4665484892,,,
Al-Baha,1997,3027.0,20.1484058503,41.4665484892,,,
Al-Baha,1998,5110.0,20.1484058503,41.4665484892,,,
Al-Baha,1999,4246.0,20.1484058503,41.4665484892,,,
Al-Baha,2000,4832.0,20.1484058503,41.4665484892,,,
Al-Baha,2001,7594.0,20.1484058503,41.4665484892,,,
Al-Baha,2002,3335.0,20.1484058503,41.4665484892,,,
Al-Baha,2003,3616.0,20.1484058503,41.4665484892,,,
Al-Baha,2004,3410.0,20.1484058503,41.4665484892,,,
Al-Baha,2005,2698.0,20.1484058503,41.4665484892,,,
Al-Baha,2006,3593.0,20.1484058503,41.4665484892,,,
Al-Baha,2007,997.0,20.1484058503,41.4665484892,,,
Al-Baha,2008,5418.0,20.1484058503,41.4665484892,,,
Al-Baha,2009,9815.0,20.1484058503,41.4665484892,,,
Al-Baha,2010,7076.0,20.1484058503,41.4665484892,,,
Al-Baha,2011,6450.0,20.1484058503,41.4665484892,,,
Al-Baha,2012,7593.0,20.1484058503,41.4665484892,,,
Al-Baha,2013,7482.0,20.1484058503,41.4665484892,,,
Al-Baha,2014,7268.0,20.1484058503,41.4665484892,,,
Al-Baha,2015,4856.0,20.1484058503,41.4665484892,,,
Al-Baha,2016,4614.0,20.1484058503,41.4665484892,,,
Al-Baha,2017,4131.0,20.1484058503,41.4665484892,,,
Al-Jouf,1993,2884.0,29.967744576199998,39.5570371172,,,
Al-Jouf,1994,2535.0,29.967744576199998,39.5570371172,,,
Al-Jouf,1995,2270.0,29.967744576199998,39.5570371172,,,
Al-Jouf,1996,2518.0,29.967744576199998,39.5570371172,,,
Al-Jouf,1997,3565.0,29.967744576199998,39.5570371172,,,
Al-Jouf,1998,3476.0,29.967744576199998,39.5570371172,,,
Al-Jouf,1999,3950.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2000,4666.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2001,4756.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2002,5940.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2003,3852.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2004,4601.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2005,3558.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2006,4846.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2007,9097.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2008,10929.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2009,10567.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2010,10937.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2011,10180.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2012,10246.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2013,11602.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2014,9982.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2015,10233.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2016,9371.0,29.967744576199998,39.5570371172,,,
Al-Jouf,2017,8091.0,29.967744576199998,39.5570371172,,,
Al-Qaseem,1993,73618.0,26.1967063704,43.3429998455,,,
Al-Qaseem,1994,68916.0,26.1967063704,43.3429998455,,,
Al-Qaseem,1995,49690.0,26.1967063704,43.3429998455,,,
Al-Qaseem,1996,42693.0,26.1967063704,43.3429998455,,,
Al-Qaseem,1997,10092.0,26.1967063704,43.3429998455,,,
Al-Qaseem,1998,11350.0,26.1967063704,43.3429998455,,,
Al-Qaseem,1999,9983.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2000,12226.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2001,14718.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2002,16298.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2003,10666.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2004,9390.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2005,10480.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2006,12142.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2007,25174.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2008,22236.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2009,27571.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2010,36737.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2011,10760.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2012,11421.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2013,17889.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2014,29113.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2015,13631.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2016,9180.0,26.1967063704,43.3429998455,,,
Al-Qaseem,2017,6318.0,26.1967063704,43.3429998455,,,
Asir,1993,6226.0,19.1387847401,42.941470036,,,
Asir,1994,5185.0,19.1387847401,42.941470036,,,
Asir,1995,4889.0,19.1387847401,42.941470036,,,
Asir,1996,3319.0,19.1387847401,42.941470036,,,
Asir,1997,12204.0,19.1387847401,42.941470036,,,
Asir,1998,13220.0,19.1387847401,42.941470036,,,
Asir,1999,14625.0,19.1387847401,42.941470036,,,
Asir,2000,18622.0,19.1387847401,42.941470036,,,
Asir,2001,20321.0,19.1387847401,42.941470036,,,
Asir,2002,20417.0,19.1387847401,42.941470036,,,
Asir,2003,15693.0,19.1387847401,42.941470036,,,
Asir,2004,17947.0,19.1387847401,42.941470036,,,
Asir,2005,18565.0,19.1387847401,42.941470036,,,
Asir,2006,20330.0,19.1387847401,42.941470036,,,
Asir,2007,10835.0,19.1387847401,42.941470036,,,
Asir,2008,18800.0,19.1387847401,42.941470036,,,
Asir,2009,21582.0,19.1387847401,42.941470036,,,
Asir,2010,21835.0,19.1387847401,42.941470036,,,
Asir,2011,24515.0,19.1387847401,42.941470036,,,
Asir,2012,23136.0,19.1387847401,42.941470036,,,
Asir,2013,29730.0,19.1387847401,42.941470036,,,
Asir,2014,29552.0,19.1387847401,42.941470036,,,
Asir,2015,38567.0,19.1387847401,42.941470036,,,
Asir,2016,41367.0,19.1387847401,42.941470036,,,
Asir,2017,39133.0,19.1387847401,42.941470036,,,
Eastern Region,1993,9964.0,23.2883307307,50.1478302439,,,
